game_date,home_name,away_name,home_score,away_score,home_win
2024-03-20,San Diego Padres,Los Angeles Dodgers,2,5,0
2024-03-21,Los Angeles Dodgers,San Diego Padres,11,15,0
2024-03-28,Baltimore Orioles,Los Angeles Angels,11,3,1
2024-03-28,Cincinnati Reds,Washington Nationals,8,2,1
2024-03-28,San Diego Padres,San Francisco Giants,6,4,1
2024-03-28,Los Angeles Dodgers,St. Louis Cardinals,7,1,1
2024-03-28,Tampa Bay Rays,Toronto Blue Jays,2,8,0
2024-03-28,Kansas City Royals,Minnesota Twins,1,4,0
2024-03-28,Chicago White Sox,Detroit Tigers,0,1,0
2024-03-28,Miami Marlins,Pittsburgh Pirates,5,6,0
2024-03-28,Houston Astros,New York Yankees,4,5,0
2024-03-28,Texas Rangers,Chicago Cubs,4,3,1
2024-03-28,Oakland Athletics,Cleveland Guardians,0,8,0
2024-03-28,Arizona Diamondbacks,Colorado Rockies,16,1,1
2024-03-28,Seattle Mariners,Boston Red Sox,4,6,0
2024-03-29,New York Mets,Milwaukee Brewers,1,3,0
2024-03-29,Philadelphia Phillies,Atlanta Braves,3,9,0
2024-03-29,Tampa Bay Rays,Toronto Blue Jays,8,2,1
2024-03-29,Miami Marlins,Pittsburgh Pirates,2,7,0
2024-03-29,Houston Astros,New York Yankees,1,7,0
2024-03-29,Arizona Diamondbacks,Colorado Rockies,7,3,1
2024-03-29,Oakland Athletics,Cleveland Guardians,4,6,0
2024-03-29,Seattle Mariners,Boston Red Sox,1,0,1
2024-03-29,San Diego Padres,San Francisco Giants,3,8,0
2024-03-29,Los Angeles Dodgers,St. Louis Cardinals,6,3,1
2024-03-30,New York Mets,Milwaukee Brewers,6,7,0
2024-03-30,Chicago White Sox,Detroit Tigers,6,7,0
2024-03-30,Baltimore Orioles,Los Angeles Angels,13,4,1
2024-03-30,Philadelphia Phillies,Atlanta Braves,4,12,0
2024-03-30,Oakland Athletics,Cleveland Guardians,3,12,0
2024-03-30,Cincinnati Reds,Washington Nationals,6,7,0
2024-03-30,Tampa Bay Rays,Toronto Blue Jays,5,1,1
2024-03-30,Kansas City Royals,Minnesota Twins,1,5,0
2024-03-30,Miami Marlins,Pittsburgh Pirates,3,9,0
2024-03-30,Texas Rangers,Chicago Cubs,11,2,1
2024-03-30,San Diego Padres,San Francisco Giants,6,9,0
2024-03-30,Houston Astros,New York Yankees,3,5,0
2024-03-30,Arizona Diamondbacks,Colorado Rockies,4,9,0
2024-03-30,Los Angeles Dodgers,St. Louis Cardinals,5,6,0
2024-03-30,Seattle Mariners,Boston Red Sox,4,3,1
2024-03-31,Baltimore Orioles,Los Angeles Angels,1,4,0
2024-03-31,Philadelphia Phillies,Atlanta Braves,5,4,1
2024-03-31,Cincinnati Reds,Washington Nationals,6,5,1
2024-03-31,Tampa Bay Rays,Toronto Blue Jays,2,9,0
2024-03-31,Miami Marlins,Pittsburgh Pirates,7,9,0
2024-03-31,New York Mets,Milwaukee Brewers,1,4,0
2024-03-31,Kansas City Royals,Minnesota Twins,11,0,1
2024-03-31,Chicago White Sox,Detroit Tigers,2,3,0
2024-03-31,Houston Astros,New York Yankees,3,4,0
2024-03-31,Texas Rangers,Chicago Cubs,5,9,0
