pitcher_id,pitcher_name,era,whip,k_per_9,bb_per_9,ip,fip_computed
663542,Bryan Hudson,1.13,0.75,10.41,1.97,32.0,2.7125
544150,Albert Suárez,1.57,0.99,7.6,2.62,34.1,2.710117302052786
624133,Ranger Suarez,1.7,0.8,9.61,1.95,74.0,2.5418918918918916
607625,Seth Lugo,1.72,1.01,7.58,2.07,78.1,3.15
625643,Reynaldo López,1.73,1.08,8.63,3.14,57.1,2.7296847635726795
656557,Tanner Houck,1.85,0.96,8.65,1.73,78.0,1.9705128205128204
684007,Shota Imanaga,1.86,1.0,9.16,1.55,58.0,2.753448275862069
661563,Luis Gil,1.99,0.95,11.23,4.41,63.1,2.9439778129952456
661527,Seth Martinez,2.01,1.02,4.31,3.45,31.1,4.596945337620578
669373,Tarik Skubal,2.01,0.82,10.75,1.48,67.0,2.030597014925373
592351,Jon Gray,2.21,1.19,8.84,2.68,57.0,2.5359649122807015
592866,Trevor Williams,2.22,1.08,7.46,2.54,56.2,2.7941281138790037
665871,Javier Assad,2.27,1.18,8.67,3.69,63.1,3.688827258320127
554430,Zack Wheeler,2.32,0.95,10.38,2.81,73.2,2.658196721311475
669203,Corbin Burnes,2.35,1.05,8.79,2.48,72.2,3.0945983379501385
669713,Hayden Wesneski,2.41,1.04,8.55,1.87,33.2,2.637951807228916
669854,Ronel Blanco,2.44,1.03,8.69,3.81,59.0,4.03135593220339
542881,Tyler Anderson,2.47,1.13,6.23,3.76,69.1,4.524819102749638
681857,Reese Olson,2.48,1.07,7.59,2.92,61.2,3.068300653594771
657376,Clarke Schmidt,2.52,1.14,9.94,2.97,60.2,3.2164451827242524
547184,Michael Kelly,2.59,1.18,6.32,2.87,31.1,3.5358520900321544
573186,Marcus Stroman,2.6,1.21,7.14,3.76,69.1,4.322214182344428
663903,Brady Singer,2.63,1.12,9.34,2.77,61.2,3.26437908496732
605513,Spencer Turnbull,2.64,0.97,9.95,2.44,44.1,2.9232426303854875
663855,Jordan Hicks,2.7,1.11,7.39,2.7,63.1,3.6412836767036447
680573,Simeon Woods Richardson,2.7,1.1,6.75,2.03,40.0,2.975
676962,Ben Brown,2.72,1.06,10.68,3.3,46.1,2.434164859002169
571882,Derek Law,2.76,1.38,7.99,3.58,32.2,3.367391304347826
596295,Austin Gomber,2.76,1.11,6.29,2.61,58.2,4.627663230240549
596133,Luke Weaver,2.78,0.73,9.84,1.77,35.2,3.0079545454545453
680767,Victor Vodnik,2.78,1.45,6.96,3.62,32.1,3.2123052959501557
621244,José Berríos,2.78,1.08,7.02,2.18,74.1,4.067678812415655
642232,Ryan Yarbrough,2.82,0.94,3.76,2.11,38.1,4.383595800524934
650911,Cristopher Sánchez,2.83,1.39,8.35,2.98,60.1,2.50108153078203
543135,Nathan Eovaldi,2.84,1.2,9.34,3.86,44.1,3.2407029478458047
608344,Cole Irvin,2.84,1.13,6.39,1.95,50.2,3.408964143426295
594902,Ben Lively,2.84,1.16,8.35,2.66,50.2,3.986653386454183
592791,Jameson Taillon,2.84,1.26,5.89,2.44,44.1,4.125056689342403
669022,MacKenzie Gore,2.91,1.28,11.05,2.61,58.2,2.6689003436426115
682847,Luis Ortiz,2.94,1.16,7.22,4.28,33.2,3.3608433734939758
657277,Logan Webb,2.95,1.25,7.6,2.27,79.1,2.7075221238938054
547179,Michael Lorenzen,2.96,1.17,7.24,4.28,54.2,4.164760147601476
608331,Max Fried,2.97,1.05,7.29,2.84,66.2,3.255740181268882
543243,Sonny Gray,3.0,1.05,12.16,2.37,57.0,2.606140350877193
676254,Ryan Walker,3.0,0.97,12.0,1.5,30.0,1.8499999999999999
605400,Aaron Nola,3.03,1.03,8.26,2.56,77.1,4.019001297016861
607192,Tyler Glasnow,3.04,0.91,11.55,2.55,74.0,2.6635135135135135
519242,Chris Sale,3.06,0.95,10.91,1.33,67.2,2.3166666666666664
676130,José Buttó,3.08,1.13,9.0,4.97,38.0,3.8342105263157893
607074,Carlos Rodón,3.09,1.13,8.33,2.69,67.0,4.135074626865672
607200,Erick Fedde,3.12,1.18,8.57,2.86,69.1,3.699927641099855
668678,Zac Gallen,3.12,1.14,9.36,2.34,57.2,3.2024475524475524
666157,Nick Lodolo,3.12,0.94,10.26,2.01,40.1,2.8258104738154612
694813,Gavin Stone,3.16,1.19,6.47,2.68,57.0,3.5184210526315787
682243,Bryce Miller,3.18,0.96,9.04,2.42,70.2,3.976210826210826
